objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,snMedian,low_z
1237661972270153848,209.951667741193,7.23802511874103,5.695287,0.1143986,GALAXY,19.41508,18.06168,17.3291,16.95013,16.69804,0.06732456,0.009666394,0.007063719,0.007309066,0.01739142,12.65133,False
1237661972270153890,209.977599843896,7.37599804814741,8.328842,0.1453641,GALAXY,19.50034,17.65341,16.60807,16.15675,15.82389,0.09870674,0.009994513,0.00630766,0.00626882,0.01382974,14.74494,False
1237661972804993234,205.319652339918,8.05842544888105,5.828136,0.178618,GALAXY,20.59905,18.48005,17.34958,16.85666,16.53371,0.1759462,0.01320458,0.007700357,0.007498865,0.01820762,10.75224,False
1237665023838584962,204.708556464421,32.3701673057982,10.36095,0.02545874,GALAXY,17.94851,16.8167,16.36089,16.13038,15.95287,0.02240456,0.005019053,0.004997706,0.005716883,0.01599088,11.28221,True
1237661972805124309,205.683530959607,8.00397905315584,6.306406,0.04805802,GALAXY,18.90616,17.95118,17.68109,17.47776,17.31656,0.04140435,0.007886069,0.008936116,0.01072209,0.03181521,10.08537,True
1237661972807024764,209.970578305568,7.67015876354251,6.514571,0.1337713,GALAXY,20.23287,18.21453,17.16215,16.71646,16.35403,0.13792,0.009683691,0.006260652,0.006060325,0.0132013,16.71253,False
1237661974405316763,197.913873812301,6.31968737444136,6.05711,0.04576328,GALAXY,17.98239,16.04337,15.1814,14.76438,14.47649,0.02114091,0.00326149,0.002639496,0.002627204,0.004570298,43.79967,True
1237662195606814804,205.168391673205,41.4137727446648,3.78288,0.2115813,GALAXY,20.6681,19.00343,17.71208,17.21255,16.86365,0.1183619,0.01411254,0.007389589,0.007384437,0.01587326,16.22476,False
1237665024375193727,204.082658647724,32.8751151651172,8.897229,0.02376144,GALAXY,17.79999,16.38049,15.76106,15.45362,15.20819,0.02415919,0.004283389,0.003670436,0.003866452,0.00848587,17.21812,True
1237662224054681754,149.20885902639,33.3853438416253,3.396867,0.2350522,GALAXY,20.48294,19.03841,17.73063,17.21377,16.84465,0.109499,0.01498361,0.007893654,0.006896157,0.01432588,14.79154,False
1237662236401467467,205.208341939243,8.43236524805751,4.10965,0.07884414,GALAXY,19.12861,17.20808,16.33058,15.93326,15.61129,0.03913703,0.005059904,0.0038381,0.003674625,0.006880771,24.5071,True
1237662236403368175,209.636943719144,8.17356516035521,4.657317,0.09919224,GALAXY,20.27675,18.20219,17.28118,16.87727,16.53415,0.09989311,0.008880126,0.005983948,0.005582828,0.01243647,17.41574,True
1237657629510402380,128.026179103408,35.6560823610599,5.678692,0.147316,GALAXY,19.44249,17.98294,17.29504,16.85111,16.66724,0.06554046,0.00825023,0.00681307,0.006156949,0.01819694,11.41668,False
1237662236403499148,209.905788667888,8.09985931940484,9.380248,0.1029155,GALAXY,18.76973,16.79597,15.78997,15.35592,15.01308,0.04360223,0.004951247,0.003431203,0.003244297,0.006185656,30.61942,False
1237662236403499313,209.987453663869,8.03642817756397,5.876329,0.1163476,GALAXY,20.34475,18.28811,17.22689,16.70029,16.29506,0.1597252,0.01303872,0.007795941,0.006740073,0.01476047,12.12677,False
1237662236937551995,203.412286380857,8.94663256919306,3.185411,0.09718326,GALAXY,20.28975,18.37496,17.42948,17.02532,16.68985,0.09381461,0.009225766,0.006479528,0.006072148,0.01271909,13.40456,True
1237662236938338491,205.328261851138,8.76677686642692,9.366419,0.08033116,GALAXY,18.39222,16.74787,15.95575,15.55946,15.2776,0.04911231,0.005915255,0.004656809,0.004394496,0.00975599,15.81879,True
1237662237474291866,203.266483861885,9.5029654750553,5.23382,0.02319172,GALAXY,17.78142,16.66413,16.21712,16.01466,15.82448,0.01880321,0.004005136,0.003786157,0.003928918,0.009643028,23.70179,True
