objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,snMedian,low_z
1237651823782199454,213.924581086619,5.27052970239715,9.773122,0.08959311,GALAXY,18.18912,16.2288,15.27378,14.85454,14.52693,26.14585,True
1237651823782199476,213.938063563245,5.25901297315035,4.540723,0.08751706,GALAXY,19.7688,17.75268,16.78013,16.32403,15.94506,18.57544,True
1237651823782396044,214.389124785456,5.21784800900987,7.17222,0.07958744,GALAXY,18.69313,16.86063,15.94485,15.47219,15.11913,19.16007,True
1237652944240378073,339.453072520776,14.3552832291446,4.926433,0.1164818,GALAXY,19.06078,18.0896,17.58877,17.25104,17.0544,11.4628,False
1237652944240378078,339.452183145976,14.3827484095272,5.84017,0.08633361,GALAXY,19.16708,17.63088,16.77503,16.32327,15.99779,17.2248,True
1237652944240378108,339.504049832932,14.2989507034595,9.149274,0.08390597,GALAXY,18.3052,16.318,15.33572,14.8994,14.56755,30.23322,True
1237652944240378136,339.497240969118,14.3887115241003,5.013628,0.1153186,GALAXY,19.64336,18.1145,17.22601,16.78157,16.46947,11.30653,False
1237652944240443738,339.631691583251,14.4432506614779,5.092571,0.1855828,GALAXY,20.52321,18.46869,17.10902,16.55123,16.16552,13.58473,False
1237652944240443740,339.651065035642,14.3254113732334,4.495909,0.08635402,GALAXY,19.04082,17.86025,17.22284,16.83089,16.55333,14.28414,True
1237652944240443791,339.685169561035,14.3365138073576,4.689085,0.08695357,GALAXY,18.7017,17.4735,16.76435,16.32733,16.03591,20.37944,True
1237652944240509052,339.820840877621,14.4017158166732,3.479575,0.08473618,GALAXY,18.85304,17.30099,16.59239,16.22036,15.97157,26.91396,True
1237652944240509322,339.886274146103,14.3636712003487,13.39365,0.08376097,GALAXY,19.2368,17.0891,15.96515,15.44543,15.07943,23.51819,True
1237652944240574713,339.919992359531,14.3842734278914,3.526428,0.08683719,GALAXY,20.20999,18.51535,17.52426,17.02943,16.64803,13.46007,True
1237652944240574733,339.93659296504,14.4140272544389,6.109102,0.08420853,GALAXY,18.60718,17.34432,16.68933,16.27786,16.04319,12.87555,True
1237652944240574746,339.944681145958,14.3861421440879,9.324627,0.08447238,GALAXY,18.1315,17.12172,16.65342,16.30215,16.1626,12.53788,True
1237653586334122271,122.424861892827,39.5203140292559,7.55576,0.07590813,GALAXY,19.08209,16.92267,15.93589,15.49082,15.14558,30.25036,True
